id,title,label,value,weight
9,Amazon S3,Alumni Access,<p>Not Available<p>,10
9,Amazon S3,Backup,<p>Available for additional cost.</p>,11
9,Amazon S3,Eligibility,<p>Staff and Faculty.</p>,7
9,Amazon S3,Limitations,<p>AWS S3 is a chargeback service and an NYU chartfield is required for chargeback.<br>Max individual file upload size is 5TB.</p><p>&nbsp;</p>,5
9,Amazon S3,Links,"<p><a href=""https://www.nyu.edu/servicelink/KB0020307"">Amazon S3</a></p>",2
9,Amazon S3,Permission Settings,"<p dir=""ltr"">Restricted access by individual or group.</p>",6
9,Amazon S3,Storable Files,"<p>High, Moderate, &amp; Low Risk.<br>&nbsp;</p>",3
9,Amazon S3,Synchronous Access,<p>Not Available</p>,9
9,Amazon S3,Use Case,"<p>Archive and long-term, high-security storage of large datasets.</p>",4
15,Distributed storage on the HSRN,Alumni Access,<p>Available</p>,10
15,Distributed storage on the HSRN,Backup,"<p>Yes, 30 day retention&nbsp;</p>",11
15,Distributed storage on the HSRN,Eligibility,<p>Faculty sponsored</p>,7
15,Distributed storage on the HSRN,Limitations,<p>2TB limit with 60 day purge policy for untouched files</p>,5
15,Distributed storage on the HSRN,Links,"<p><a href=""http://hpc.nyu.edu/"">hpc.nyu.edu</a></p>",2
15,Distributed storage on the HSRN,Permission Settings,<p>User controlled using facl</p>,6
15,Distributed storage on the HSRN,Storable Files,<p>Moderate&nbsp;&amp; Low risk</p>,3
15,Distributed storage on the HSRN,Synchronous Access,<p>Yes</p>,9
15,Distributed storage on the HSRN,Use Case,<p>Long term storage</p>,4
5,File Sharing (Windows),Alumni Access,<p>Not Available</p>,10
5,File Sharing (Windows),Backup,"<p dir=""ltr"">Backed up daily, retains last 30 days; monitored 24x7</p>",11
5,File Sharing (Windows),Eligibility,"<p dir=""ltr"">NYU Units, Faculty, Staff, Researchers</p>",7
5,File Sharing (Windows),Limitations,"<p dir=""ltr"">Workstations will have to be joined to NYU's Active Directory</p>",5
